external_source,external_id,display_name,logo_url,source_url,crawled_at
giftpop.vn,CHUKTEA,Chuk Tea & Coffee,https://img.giftpop.vn/brand/logo/CHUKTEA.png,https://www.giftpop.vn/brandshop/list?view&brand_code=CHUKTEA,2026-08-25T04:40:09.705Z
giftpop.vn,NGUPHAN,Ngư Phàn,https://img.giftpop.vn/brand/logo/NGUPHAN.png,https://www.giftpop.vn/brandshop/list?view&brand_code=NGUPHAN,2026-08-25T04:40:09.705Z
giftpop.vn,TOUSLESJOURS,TOUS les JOURS,https://img.giftpop.vn/brand/logo/TOUSLESJOURS.png,https://www.giftpop.vn/brandshop/list?view&brand_code=TOUSLESJOURS,2026-08-25T04:40:09.705Z
giftpop.vn,DMARIS,DMaris,https://img.giftpop.vn/brand/logo/DMARIS.png,https://www.giftpop.vn/brandshop/list?view&brand_code=DMARIS,2026-08-25T04:40:09.705Z
giftpop.vn,GOLDENGATE,Golden Gate,https://img.giftpop.vn/brand/logo/GOLDENGATE.png,https://www.giftpop.vn/brandshop/list?view&brand_code=GOLDENGATE,2026-08-25T04:40:09.705Z
giftpop.vn,LOTTERIA,Lotteria,https://img.giftpop.vn/brand/logo/LOTTERIA.png,https://www.giftpop.vn/brandshop/list?view&brand_code=LOTTERIA,2026-08-25T04:40:09.705Z
giftpop.vn,PIZZA4PS,Pizza 4Ps,https://img.giftpop.vn/brand/logo/PIZZA4PS.png,https://www.giftpop.vn/brandshop/list?view&brand_code=PIZZA4PS,2026-08-25T04:40:09.705Z
giftpop.vn,MARCFASHION,Marc Fashion,https://img.giftpop.vn/brand/logo/MARCFASHION.png,https://www.giftpop.vn/brandshop/list?view&brand_code=MARCFASHION,2026-08-25T04:40:09.705Z
giftpop.vn,TIEMGOIA,Tiệm Gội Ả,https://img.giftpop.vn/brand/logo/TIEMGOIA.png,https://www.giftpop.vn/brandshop/list?view&brand_code=TIEMGOIA,2026-08-25T04:40:09.705Z
giftpop.vn,PNJ,PNJ,https://img.giftpop.vn/brand/logo/PNJ.png,https://www.giftpop.vn/brandshop/list?view&brand_code=PNJ,2026-08-25T04:40:09.705Z
giftpop.vn,HPLUS,Y Tế H PLus,https://img.giftpop.vn/brand/logo/HPLUS.png,https://www.giftpop.vn/brandshop/list?view&brand_code=HPLUS,2026-08-25T04:40:09.705Z
giftpop.vn,VIETNAMOBILE,Vietnamobile,https://img.giftpop.vn/brand/logo/VIETNAMOBILE.png,https://www.giftpop.vn/brandshop/list?view&brand_code=VIETNAMOBILE,2026-08-25T04:40:09.705Z
giftpop.vn,SOHACOIN,SohaCoin,https://img.giftpop.vn/brand/logo/SOHACOIN.png,https://www.giftpop.vn/brandshop/list?view&brand_code=SOHACOIN,2026-08-25T04:40:09.705Z
giftpop.vn,SUOITIEN,Công Viên Văn Hóa Suối Tiên,https://img.giftpop.vn/brand/logo/SUOITIEN.png,https://www.giftpop.vn/brandshop/list?view&brand_code=SUOITIEN,2026-08-25T04:40:09.705Z
giftpop.vn,LOTTEMART,LOTTE Mart,https://img.giftpop.vn/brand/logo/LOTTEMART.png,https://www.giftpop.vn/brandshop/list?view&brand_code=LOTTEMART,2026-08-25T04:40:09.705Z
giftpop.vn,LOTTYFRIENDS,LOTTY FRIENDS,https://img.giftpop.vn/brand/logo/LOTTYFRIENDS.png,https://www.giftpop.vn/brandshop/list?view&brand_code=LOTTYFRIENDS,2026-08-25T04:40:09.705Z
giftpop.vn,KMARKET,K-MARKET,https://img.giftpop.vn/brand/logo/KMARKET.png,https://www.giftpop.vn/brandshop/list?view&brand_code=KMARKET,2026-08-25T04:40:09.705Z
giftpop.vn,BELOVEDBEYOND,Beloved & Beyond,https://img.giftpop.vn/brand/logo/BELOVEDBEYOND.png,https://www.giftpop.vn/brandshop/list?view&brand_code=BELOVEDBEYOND,2026-08-25T04:40:09.705Z
giftpop.vn,BE,Be,https://img.giftpop.vn/brand/logo/BE.png,https://www.giftpop.vn/brandshop/list?view&brand_code=BE,2026-08-25T04:40:09.705Z
giftpop.vn,BBWELLNESS,BB Wellness,https://img.giftpop.vn/brand/logo/BBWELLNESS.png,https://www.giftpop.vn/brandshop/list?view&brand_code=BBWELLNESS,2026-08-25T04:40:09.705Z
