external_source,external_id,title,description,terms_and_conditions,legacy_category_code,original_price,sale_price,currency,thumbnail_url,source_url,usage_validity_days,sale_start_time,sale_end_time,usage_start_time,usage_end_time,capacity,status,source_content_hash,crawled_at
giftpop.vn,MP2212130004,Phiếu quà tặng Laneige 1000K,"Laneige là thương hiệu mỹ phẩm Hàn Quốc và hướng đến việc tạo ra những sản phẩm chăm sóc sắc đẹp mang chất lượng hàng đầu dành cho phái đẹp, với phương châm “Feel the glow” (Tự tin tỏa sáng vẻ đẹp tự nhiên). Sau nhiều năm nghiên cứu chuyên sâu về cơ chế giữ ẩm cho làn da, Laneige rút ra kết luận rằng dưỡng ẩm chính là chìa khóa thiết yếu giúp làn da tỏa sáng từ bên trong, là giải pháp cho nhiều vấn đề về da. Độ ẩm sâu giúp nuôi dưỡng làn da, tăng cường hàng rào bảo vệ da, thanh lọc và duy trì một làn da khoẻ mạnh, trong trẻo và rạng rỡ hơn. Từ đó, các sản phẩm của hãng đều đi theo tiêu chí này.
Laneige là thương hiệu trực thuộc tập đoàn Amorepacific Corporation, được thành lập bởi Suh Seong-Hwan và chuyên cung cấp ra thị trường các sản phẩm chăm sóc da, trang điểm và chăm sóc sức khỏe. Năm 1994, Laneige lần đầu tiên ra mắt tại xứ sở Kim Chi. Cái tên Laneige được bắt nguồn từ tiếng Pháp với ý nghĩa là “tuyết” (Snow) – ngụ ý điều mà thương hiệu này muốn hướng đến chính là mang lại một làn da trong trẻo, ẩm mượt, trắng mịn màng và không tỳ vết như những bông tuyết trắng.","• Mỗi voucher chỉ được sử dụng 01 lần. Khách hàng sử dụng nhiều voucher cùng lúc cho 01 đơn hàng.
• Voucher chỉ áp dụng sử dụng trực tiếp tại cửa hàng.
• Không có giá trị quy đổi thành tiền mặt, không được hoàn trả tiền thừa.
• Không hoàn trả hoặc bán lại được.
• Nếu giá tiền đơn đặt hàng của khách hàng vượt quá giá trị của voucher thì khách hàng phải thanh toán thêm số tiền chênh lệch đó.
• Voucher được áp dụng với các chương trình khuyến mại khác và chương trình tích điểm thành viên.
• Voucher được sử dụng trong các ngày Lễ Tết.
• Cửa hàng sẽ xuất hoá đơn VAT khi khách hàng cho nhu cầu.
• Khách hàng có trách nhiệm bảo mật thông tin mã thẻ quà tặng sau khi đặt mua. Giftpop sẽ không chịu trách nhiệm hoàn trả các mã thẻ bị mất hoặc ở trạng thái ""Đã sử dụng"" với bất kỳ lý do gì.
• Giftpop sẽ không chịu trách nhiệm đối với chất lượng sản phẩm hoặc dịch vụ được cung cấp cũng như đối với các tranh chấp về sau giữa khách hàng và nhà cung cấp.
• Giftpop có quyền sửa chữa hoặc thay đổi điều khoản và điều kiện sử dụng mà không thông báo trước.
• Hạn sử dụng: 90 ngày kể từ ngày mua.
• Hotline Giftpop: 1900 55 88 12.",BEAUTY_HEALTH,1000000,,VND,https://img.giftpop.vn/brand/LANEIGE/MP2212130004_BASIC_origin.jpg,https://www.giftpop.vn/category/view/MP2212130004?category_code=A109,7,2026-08-19T17:00:00.000Z,2027-08-19T17:00:00.000Z,2026-08-19T17:00:00.000Z,2027-08-26T17:00:00.000Z,100,APPROVED,945ad9534a5fc497003e65bcc15482a31c2efe5ef60a91f20648bc452577dd66,2026-08-25T04:38:57.946Z
giftpop.vn,MP2212130003,Phiếu quà tặng Laneige 500K,"Laneige là thương hiệu mỹ phẩm Hàn Quốc và hướng đến việc tạo ra những sản phẩm chăm sóc sắc đẹp mang chất lượng hàng đầu dành cho phái đẹp, với phương châm “Feel the glow” (Tự tin tỏa sáng vẻ đẹp tự nhiên). Sau nhiều năm nghiên cứu chuyên sâu về cơ chế giữ ẩm cho làn da, Laneige rút ra kết luận rằng dưỡng ẩm chính là chìa khóa thiết yếu giúp làn da tỏa sáng từ bên trong, là giải pháp cho nhiều vấn đề về da. Độ ẩm sâu giúp nuôi dưỡng làn da, tăng cường hàng rào bảo vệ da, thanh lọc và duy trì một làn da khoẻ mạnh, trong trẻo và rạng rỡ hơn. Từ đó, các sản phẩm của hãng đều đi theo tiêu chí này.
Laneige là thương hiệu trực thuộc tập đoàn Amorepacific Corporation, được thành lập bởi Suh Seong-Hwan và chuyên cung cấp ra thị trường các sản phẩm chăm sóc da, trang điểm và chăm sóc sức khỏe. Năm 1994, Laneige lần đầu tiên ra mắt tại xứ sở Kim Chi. Cái tên Laneige được bắt nguồn từ tiếng Pháp với ý nghĩa là “tuyết” (Snow) – ngụ ý điều mà thương hiệu này muốn hướng đến chính là mang lại một làn da trong trẻo, ẩm mượt, trắng mịn màng và không tỳ vết như những bông tuyết trắng.","• Mỗi voucher chỉ được sử dụng 01 lần. Khách hàng sử dụng nhiều voucher cùng lúc cho 01 đơn hàng.
• Voucher chỉ áp dụng sử dụng trực tiếp tại cửa hàng.
• Không có giá trị quy đổi thành tiền mặt, không được hoàn trả tiền thừa.
• Không hoàn trả hoặc bán lại được.
• Nếu giá tiền đơn đặt hàng của khách hàng vượt quá giá trị của voucher thì khách hàng phải thanh toán thêm số tiền chênh lệch đó.
• Voucher được áp dụng với các chương trình khuyến mại khác và chương trình tích điểm thành viên.
• Voucher được sử dụng trong các ngày Lễ Tết.
• Cửa hàng sẽ xuất hoá đơn VAT khi khách hàng cho nhu cầu.
• Khách hàng có trách nhiệm bảo mật thông tin mã thẻ quà tặng sau khi đặt mua. Giftpop sẽ không chịu trách nhiệm hoàn trả các mã thẻ bị mất hoặc ở trạng thái ""Đã sử dụng"" với bất kỳ lý do gì.
• Giftpop sẽ không chịu trách nhiệm đối với chất lượng sản phẩm hoặc dịch vụ được cung cấp cũng như đối với các tranh chấp về sau giữa khách hàng và nhà cung cấp.
• Giftpop có quyền sửa chữa hoặc thay đổi điều khoản và điều kiện sử dụng mà không thông báo trước.
• Hạn sử dụng: 90 ngày kể từ ngày mua.
• Hotline Giftpop: 1900 55 88 12.",BEAUTY_HEALTH,500000,,VND,https://img.giftpop.vn/brand/LANEIGE/MP2212130003_BASIC_origin.jpg,https://www.giftpop.vn/category/view/MP2212130003?category_code=A109,30,2026-08-20T17:00:00.000Z,2027-08-20T17:00:00.000Z,2026-08-20T17:00:00.000Z,2027-09-19T17:00:00.000Z,100,APPROVED,2d0ea77a3c4a96dc3f765e8e3888dc9a8ff3147aecac5d6a8e3aac5483a57e37,2026-08-25T04:38:57.946Z
giftpop.vn,MP2212130002,Phiếu quà tặng Laneige 200K,"Laneige là thương hiệu mỹ phẩm Hàn Quốc và hướng đến việc tạo ra những sản phẩm chăm sóc sắc đẹp mang chất lượng hàng đầu dành cho phái đẹp, với phương châm “Feel the glow” (Tự tin tỏa sáng vẻ đẹp tự nhiên). Sau nhiều năm nghiên cứu chuyên sâu về cơ chế giữ ẩm cho làn da, Laneige rút ra kết luận rằng dưỡng ẩm chính là chìa khóa thiết yếu giúp làn da tỏa sáng từ bên trong, là giải pháp cho nhiều vấn đề về da. Độ ẩm sâu giúp nuôi dưỡng làn da, tăng cường hàng rào bảo vệ da, thanh lọc và duy trì một làn da khoẻ mạnh, trong trẻo và rạng rỡ hơn. Từ đó, các sản phẩm của hãng đều đi theo tiêu chí này.
Laneige là thương hiệu trực thuộc tập đoàn Amorepacific Corporation, được thành lập bởi Suh Seong-Hwan và chuyên cung cấp ra thị trường các sản phẩm chăm sóc da, trang điểm và chăm sóc sức khỏe. Năm 1994, Laneige lần đầu tiên ra mắt tại xứ sở Kim Chi. Cái tên Laneige được bắt nguồn từ tiếng Pháp với ý nghĩa là “tuyết” (Snow) – ngụ ý điều mà thương hiệu này muốn hướng đến chính là mang lại một làn da trong trẻo, ẩm mượt, trắng mịn màng và không tỳ vết như những bông tuyết trắng.","• Mỗi voucher chỉ được sử dụng 01 lần. Khách hàng sử dụng nhiều voucher cùng lúc cho 01 đơn hàng.
• Voucher chỉ áp dụng sử dụng trực tiếp tại cửa hàng.
• Không có giá trị quy đổi thành tiền mặt, không được hoàn trả tiền thừa.
• Không hoàn trả hoặc bán lại được.
• Nếu giá tiền đơn đặt hàng của khách hàng vượt quá giá trị của voucher thì khách hàng phải thanh toán thêm số tiền chênh lệch đó.
• Voucher được áp dụng với các chương trình khuyến mại khác và chương trình tích điểm thành viên.
• Voucher được sử dụng trong các ngày Lễ Tết.
• Cửa hàng sẽ xuất hoá đơn VAT khi khách hàng cho nhu cầu.
• Khách hàng có trách nhiệm bảo mật thông tin mã thẻ quà tặng sau khi đặt mua. Giftpop sẽ không chịu trách nhiệm hoàn trả các mã thẻ bị mất hoặc ở trạng thái ""Đã sử dụng"" với bất kỳ lý do gì.
• Giftpop sẽ không chịu trách nhiệm đối với chất lượng sản phẩm hoặc dịch vụ được cung cấp cũng như đối với các tranh chấp về sau giữa khách hàng và nhà cung cấp.
• Giftpop có quyền sửa chữa hoặc thay đổi điều khoản và điều kiện sử dụng mà không thông báo trước.
• Hạn sử dụng: 90 ngày kể từ ngày mua.
• Hotline Giftpop: 1900 55 88 12.",BEAUTY_HEALTH,200000,,VND,https://img.giftpop.vn/brand/LANEIGE/MP2212130002_BASIC_origin.jpg,https://www.giftpop.vn/category/view/MP2212130002?category_code=A109,30,2026-08-19T17:00:00.000Z,2027-08-19T17:00:00.000Z,2026-08-19T17:00:00.000Z,2027-09-18T17:00:00.000Z,100,APPROVED,4daa138cc7d96460815f5365c59b4fa029099b3ae35d5372d49217536078f494,2026-08-25T04:38:57.946Z
giftpop.vn,MP2212130001,Phiếu quà tặng Laneige 50K,"Laneige là thương hiệu mỹ phẩm Hàn Quốc và hướng đến việc tạo ra những sản phẩm chăm sóc sắc đẹp mang chất lượng hàng đầu dành cho phái đẹp, với phương châm “Feel the glow” (Tự tin tỏa sáng vẻ đẹp tự nhiên). Sau nhiều năm nghiên cứu chuyên sâu về cơ chế giữ ẩm cho làn da, Laneige rút ra kết luận rằng dưỡng ẩm chính là chìa khóa thiết yếu giúp làn da tỏa sáng từ bên trong, là giải pháp cho nhiều vấn đề về da. Độ ẩm sâu giúp nuôi dưỡng làn da, tăng cường hàng rào bảo vệ da, thanh lọc và duy trì một làn da khoẻ mạnh, trong trẻo và rạng rỡ hơn. Từ đó, các sản phẩm của hãng đều đi theo tiêu chí này.
Laneige là thương hiệu trực thuộc tập đoàn Amorepacific Corporation, được thành lập bởi Suh Seong-Hwan và chuyên cung cấp ra thị trường các sản phẩm chăm sóc da, trang điểm và chăm sóc sức khỏe. Năm 1994, Laneige lần đầu tiên ra mắt tại xứ sở Kim Chi. Cái tên Laneige được bắt nguồn từ tiếng Pháp với ý nghĩa là “tuyết” (Snow) – ngụ ý điều mà thương hiệu này muốn hướng đến chính là mang lại một làn da trong trẻo, ẩm mượt, trắng mịn màng và không tỳ vết như những bông tuyết trắng.","• Mỗi voucher chỉ được sử dụng 01 lần. Khách hàng sử dụng nhiều voucher cùng lúc cho 01 đơn hàng.
• Voucher chỉ áp dụng sử dụng trực tiếp tại cửa hàng.
• Không có giá trị quy đổi thành tiền mặt, không được hoàn trả tiền thừa.
• Không hoàn trả hoặc bán lại được.
• Nếu giá tiền đơn đặt hàng của khách hàng vượt quá giá trị của voucher thì khách hàng phải thanh toán thêm số tiền chênh lệch đó.
• Voucher được áp dụng với các chương trình khuyến mại khác và chương trình tích điểm thành viên.
• Voucher được sử dụng trong các ngày Lễ Tết.
• Cửa hàng sẽ xuất hoá đơn VAT khi khách hàng cho nhu cầu.
• Khách hàng có trách nhiệm bảo mật thông tin mã thẻ quà tặng sau khi đặt mua. Giftpop sẽ không chịu trách nhiệm hoàn trả các mã thẻ bị mất hoặc ở trạng thái ""Đã sử dụng"" với bất kỳ lý do gì.
• Giftpop sẽ không chịu trách nhiệm đối với chất lượng sản phẩm hoặc dịch vụ được cung cấp cũng như đối với các tranh chấp về sau giữa khách hàng và nhà cung cấp.
• Giftpop có quyền sửa chữa hoặc thay đổi điều khoản và điều kiện sử dụng mà không thông báo trước.
• Hạn sử dụng: 90 ngày kể từ ngày mua.
• Hotline Giftpop: 1900 55 88 12.",BEAUTY_HEALTH,50000,,VND,https://img.giftpop.vn/brand/LANEIGE/MP2212130001_BASIC_origin.jpg,https://www.giftpop.vn/category/view/MP2212130001?category_code=A109,45,2026-08-20T17:00:00.000Z,2027-08-20T17:00:00.000Z,2026-08-20T17:00:00.000Z,2027-10-04T17:00:00.000Z,100,APPROVED,3ea1019718009808dfbea3a8231b5670337350356afb26ccc2fc4287301bce1f,2026-08-25T04:38:57.946Z
